variant,query_id,query_type,top_k,rerank,retriever,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk
hybrid_dense_hash_k5_rerank,q001,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.892e-05,8.12e-05,8.12e-05,203.1,90.0,310.0,603.1,603.1,1.0,0.5,0.6934264036172708,0.4,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q002,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.964e-05,8.192e-05,8.192e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,0.8333333333333334,0.05833333333333335
hybrid_dense_hash_k5_rerank,q003,stale_context,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.76e-05,7.988e-05,7.988e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.4,1.0,1.0,0.8,0.07000000000000006
hybrid_dense_hash_k5_rerank,q004,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.928e-05,8.156e-05,8.156e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,0.9791666666666666,1.0,0.013541666666666674
hybrid_dense_hash_k5_rerank,q005,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.712e-05,7.94e-05,7.94e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q006,compliance,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.916e-05,8.144e-05,8.144e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q007,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.688e-05,7.916e-05,7.916e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q008,policy_reasoning,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.664e-05,7.892e-05,7.892e-05,203.1,90.0,310.0,603.1,603.1,0.0,0.0,0.0,0.0,0.0,0.984375,0.16666666666666666,0.3018229166666666
hybrid_dense_hash_k5_rerank,q009,cost_latency,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.772e-05,8e-05,8e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q010,compliance,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.928e-05,8.156e-05,8.156e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q011,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.772e-05,8e-05,8e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q012,policy_reasoning,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.532e-05,7.76e-05,7.76e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q013,compliance,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.532e-05,7.76e-05,7.76e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,0.75,0.08750000000000002
hybrid_dense_hash_k5_rerank,q014,fact_lookup,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.676e-05,7.904e-05,7.904e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.0
hybrid_dense_hash_k5_rerank,q015,multi_hop,5.0,true,hybrid_dense_hash,2.28e-06,2e-05,5.952e-05,8.18e-05,8.18e-05,203.1,90.0,310.0,603.1,603.1,1.0,1.0,0.8503449055347546,0.4,1.0,1.0,0.8,0.07000000000000006
